Maximum Stress (MPa),Group ID
10.764792899408285,4225:G1<90um
11.424023668639052,4225:G1<90um
9.763668639053254,4225:G1<90um
9.42130177514793,4225:G1<90um
9.29112426035503,4225:G1<90um
11.162189349112426,4225:G1<90um
11.570591715976333,4225:G1<90um
11.692426035502958,4225:G1<90um
11.488934911242604,4225:G1<90um
11.907869822485209,4225:G1<90um
10.380473372781063,41025:G1:2kN
7.214792899408284,41025:G1:2kN
8.561538461538461,41025:G1:2kN
13.80396449704142,41025:G1:2kN
6.295502958579882,41025:G1:2kN
11.220118343195267,41025:G1:2kN
14.07455621301775,41025:G2:3kN
16.901775147928994,41025:G2:3kN
12.785798816568049,41025:G2:3kN
18.599881656804733,41025:G2:3kN
13.860414201183431,41025:G2:3kN
13.462544378698226,41025:G2:3kN
23.528402366863908,41025:G3:4kN
15.092307692307692,41025:G3:4kN
14.755621301775149,41025:G3:4kN
13.623786982248522,41025:G3:4kN
16.5601775147929,41025:G3:4kN
16.05656804733728,41025:G3:4kN
21.323668639053253,41025:G4:5kN
16.7301775147929,41025:G4:5kN
16.258579881656804,41025:G4:5kN
14.424260355029585,41025:G4:5kN
16.07437869822485,41025:G4:5kN
16.90023668639053,41025:G4:5kN
4.829695290858726,32725:G1:2kN
7.878808864265928,32725:G1:2kN
7.815484764542936,32725:G1:2kN
7.474819944598337,32725:G2:3kN
7.411828254847646,32725:G2:3kN
9.499861495844875,32725:G2:3kN
8.83759002770083,32725:G3:4kN
8.993047091412741,32725:G3:4kN
9.857229916897507,32725:G3:4kN
13.88939058171745,32725:G4:5kN
13.869252077562328,32725:G4:5kN
13.89448753462604,32725:G4:5kN
44.74168146214099,7125:100:0:HMW
45.23561643835617,7125:100:10:LMW
43.679894179894184,7125:100:10:LMW
42.54893617021277,7125:100:10:LMW
47.328947368421055,7125:100:10:HMW
47.88167539267016,7125:100:10:HMW
49.51151832460733,7125:100:10:HMW
14.822281167108756,7125:100:10:LMW
13.089124668435014,7125:100:10:LMW
12.08244680851064,7125:100:10:LMW
10.509186351706036,7125:100:10:HMW
10.76137566137566,7125:100:10:HMW
11.589389920424404,7125:100:10:HMW
15.545502645502646,7125:100:20:HMW
14.547643979057591,7125:100:20:HMW
5.308310991957104,7125:100:20:HMW
12.83934426229508,62425:100:20:HMW
12.6625,62425:100:20:HMW
11.938328530259364,62425:100:20:HMW
12.218079096045198,62425:100:20:HMW
11.95,62425:100:20:HMW
13.168481375358164,62425:100:20:HMW
13.652571428571427,62425:100:30:HMW
13.29565217391304,62425:100:30:HMW
13.149279538904898,62425:100:30:HMW
11.521714285714284,62425:100:40:HMW
11.929577464788734,62425:100:40:HMW
11.722766570605186,62425:100:40:HMW
30.64848484848485,62425:100:20:LMW
44.565714285714286,62425:100:20:LMW
44.32873563218391,62425:100:20:LMW
44.88882521489971,62425:100:20:LMW
43.51525423728813,62425:100:20:LMW
46.35,62425:100:20:LMW
47.281142857142854,62425:100:30:LMW
44.86033519553073,62425:100:30:LMW
48.824022346368714,62425:100:30:LMW
46.97062146892655,62425:100:30:LMW
47.07999999999999,62425:100:30:LMW
45.60403458213256,62425:100:30:LMW
52.0,62425:100:40:LMW
56.48342857142857,62425:100:40:LMW
54.981034482758616,62425:100:40:LMW
56.85,62425:100:40:LMW
54.18612716763006,62425:100:40:LMW
52.2125,62425:100:40:LMW
25.988668555240796,71725:100:0:8%
25.472727272727273,71725:100:0:8%
26.232676056338033,71725:100:0:8%
27.00342857142857,71725:100:0:8%
23.676790830945556,71725:100:0:8%
26.08115942028985,71725:100:0:8%
25.503703703703707,71725:100:0:5%
25.00919540229885,71725:100:0:5%
26.463400576368873,71725:100:0:5%
32.772861356932154,71725:100:0:5%
32.02077151335312,71725:100:0:5%
35.898823529411764,71725:100:0:5%
31.376338028169016,71725:100:40:5%
29.634131736526943,71725:100:40:5%
30.198235294117648,71725:100:40:5%
