Size,Binder Composition,Feed Mix (g Bioglass : g PEG6000),Final Volume (cm^3),Final Mass (g),Volume Loss (cm^3),Volume Loss (%),Mass Loss (g),Mass Loss (%),Porosity (%)
Evans 12mm,PVA,100:10,3.65,4.607,-0.4300000000000001,-7.72964227934568,-0.9559999999999996,-17.18497213733596,53.3
Evans 12mm,PVA,100:10,3.78,4.605,-0.2799999999999998,-5.044136191677172,-0.9459999999999996,-17.041974419023596,54.82
Evans 12mm,PVA,100:10,3.76,4.58,-0.3100000000000005,-5.579553635709153,-0.976,-17.566594672426206,54.89
Evans 12mm,PVA,100:10,3.8,4.961,-0.2300000000000004,-3.889734483341796,-0.952,-16.100118383223403,51.71
Evans 12mm,PVA,100:10,3.82,4.919,-0.2399999999999997,-4.07747196738022,-0.9670000000000004,-16.428814135236163,52.29
Evans 12mm,PVA,100:10,3.82,4.935,-0.2500000000000004,-4.175714047102062,-1.0520000000000005,-17.571404710205453,52.19
Evans 12mm,PVA,100:10,3.77,4.876,-0.2499999999999995,-4.450774434751638,-0.7409999999999997,-13.192095424603876,52.14
Evans 12mm,PVA,100:10,3.77,4.933,-0.2600000000000002,-4.587155963302756,-0.7350000000000003,-12.967537050105864,51.59
Evans 12mm,PVA,100:10,3.76,4.967,-0.2999999999999998,-5.2640814177925925,-0.7320000000000002,-12.844358659413938,51.1
Evans 12mm,PVA,100:10,3.81,4.932,-0.2299999999999999,-4.062886415827592,-0.7289999999999992,-12.877583465818743,52.16
Evans 12mm,PVA,100:10,3.78,4.939,-0.2900000000000005,-5.109231853417908,-0.7370000000000001,-12.984496124031008,51.63
Evans 12mm,PVA,100:10,3.77,4.94,-0.3000000000000002,-5.29661016949153,-0.7239999999999993,-12.782485875706204,51.43
Evans 12mm,PVA,100:20,3.78,4.961,-0.27,-4.447372755723935,-1.1099999999999994,-18.283643551309495,51.35
Evans 12mm,PVA,100:20,3.82,4.909,-0.1700000000000003,-2.8380634390651145,-1.0810000000000004,-18.04674457429049,52.43
Evans 12mm,PVA,100:20,3.73,4.458,-0.27,-4.951402897487622,-0.995,-18.246836603704384,55.73
Evans 12mm,PVA,100:20,3.66,4.701,-0.5999999999999996,-14.084507042253511,-1.285,-21.46675576344805,52.48
Evans 12mm,PVA,100:20,3.52,4.657,-0.6599999999999997,-15.78947368421052,-1.2409999999999997,-21.041030857917935,51.05
Evans 12mm,PVA,100:20,3.47,4.627,-0.6999999999999997,-16.786570743405267,-1.2599999999999998,-21.40309155766944,50.62
Evans 12mm,PVA,100:20,3.54,4.577,-0.6699999999999999,-15.914489311163893,-1.3120000000000005,-22.27882492783155,52.13
Evans 12mm,PVA,100:20,3.52,4.611,-0.7200000000000002,-16.981132075471702,-1.237,-21.152530779753764,51.47
Evans 12mm,PVA,100:20,3.49,4.688,-0.7299999999999995,-17.298578199052123,-1.2780000000000005,-21.42138786456588,50.27
Evans 12mm,PVA,100:30,3.5,4.192,-0.6200000000000001,-10.528103243335032,-1.697,-28.816437425708948,55.68
Evans 12mm,PVA,100:30,3.45,4.22,-0.6600000000000001,-11.148648648648653,-1.7000000000000002,-28.716216216216218,54.7
Evans 12mm,PVA,100:30,3.47,4.199,-0.69,-11.69095221958658,-1.7030000000000003,-28.854625550660796,55.12
Evans 12mm,PVA,100:40,3.5,3.806,-0.5599999999999996,-9.58575830195138,-2.0359999999999996,-34.85107839780896,59.76
Evans 12mm,PVA,100:40,3.55,3.865,-0.5200000000000005,-8.837525492862005,-2.019,-34.313392250169954,59.67
Evans 12mm,PVA,100:40,3.47,3.879,-0.5899999999999994,-9.951087873165784,-2.0500000000000003,-34.57581379659302,58.58
Evans 12mm,PVA,100:20,3.63,4.6,-0.6200000000000001,-10.465901417960838,-1.3240000000000007,-22.3497636731938,53.13
Evans 12mm,PVA,100:20,3.5,4.59,-0.6200000000000001,-10.444743935309974,-1.346,-22.675202156334233,51.44
Evans 12mm,PVA,100:20,3.48,4.579,-0.6300000000000003,-10.609632873021226,-1.359,-22.886493768945773,51.27
Evans 12mm,PVA,100:20,3.49,4.598,-0.5899999999999999,-9.87778335844634,-1.375,-23.02025782688766,51.21
Evans 12mm,PVA,100:20,3.54,4.572,-0.5499999999999998,-9.229736532975329,-1.3869999999999996,-23.275717402248695,52.22
Evans 12mm,PVA,100:20,3.52,4.612,-0.5799999999999996,-9.74789915966386,-1.338,-22.487394957983195,51.5
Evans 12mm,PVA,100:30,3.5,4.308,-0.5700000000000003,-9.534961525593848,-1.67,-27.93576446972231,54.42
Evans 12mm,PVA,100:30,3.58,4.323,-0.4799999999999995,-8.053691275167777,-1.6369999999999996,-27.466442953020128,55.25
Evans 12mm,PVA,100:30,3.58,4.278,-0.4699999999999997,-7.841174507841171,-1.7160000000000002,-28.628628628628633,55.74
Evans 12mm,PVA,100:30,3.54,4.315,-0.54,-9.02557245528999,-1.6679999999999993,-27.878990473006844,54.88
Evans 12mm,PVA,100:30,3.45,3.702,-0.6399999999999997,-10.698762955533262,-2.28,-38.114343029087266,60.31
Evans 12mm,PVA,100:30,3.47,4.226,-0.6000000000000001,-10.058675607711653,-1.739,-29.1533948030176,54.94
Evans 12mm,PVA,100:40,3.52,4.239,-0.52,-8.688387635756056,-1.7460000000000004,-29.172932330827074,55.39
Evans 12mm,PVA,100:40,3.5,3.848,-0.54,-9.027081243731194,-2.1340000000000003,-35.67368772985624,59.28
Evans 12mm,PVA,100:40,3.48,3.803,-0.5799999999999996,-9.660226515656223,-2.2009999999999996,-36.65889407061959,59.47
Evans 12mm,PVA,100:40,3.52,3.083,-0.5500000000000003,-9.148369926813045,-2.9289999999999994,-48.71922821024617,59.99
Evans 12mm,PVA,100:40,3.46,3.8,-0.6200000000000001,-10.413167618407796,-2.154,-36.17735975814578,59.34
Evans 12mm,PVA,100:40,3.52,3.769,-0.5500000000000003,-9.160559626915395,-2.234999999999999,-37.22518321119253,60.34
Evans 12mm,PVA,100:0,3.53,5.403,-0.4700000000000002,-11.750000000000004,-0.4780000000000006,-8.127869409964303,43.27
Evans 12mm,PVA,100:0,3.63,5.395,-0.3700000000000001,-9.250000000000004,-0.492,-8.357397655851878,44.9
Evans 12mm,PVA,100:0,3.55,5.389,-0.4500000000000002,-11.250000000000004,-0.4909999999999996,-8.350340136054415,43.85
Evans 12mm,PVA,100:0,3.5,5.437,-0.5,-12.5,-0.4729999999999998,-8.00338409475465,42.47
Evans 12mm,PVA,100:0,3.49,5.368,-0.5099999999999998,-12.749999999999996,-0.4779999999999997,-8.176530961341083,43.08
Evans 12mm,PVA,100:0,3.45,5.418,-0.5499999999999998,-13.749999999999996,-0.455,-7.747318235995233,41.9
Evans 12mm,PVA,100:0,3.51,5.414,-0.4900000000000002,-8.310719131614658,-0.4820000000000002,-8.175033921302582,42.84
Evans 12mm,PVA,100:0,3.48,5.376,-0.52,-8.861622358554873,-0.492,-8.384458077709612,42.8
Evans 12mm,PVA,100:0,3.47,5.437,-0.5299999999999998,-8.96178559350693,-0.4769999999999994,-8.06560703415623,41.94
Evans 12mm,PVA,100:0,3.39,5.498,-0.6099999999999999,-10.255548083389373,-0.4500000000000002,-7.565568258238066,40.01
Evans 12mm,PVA,100:0,3.37,5.472,-0.6299999999999999,-10.63291139240506,-0.4529999999999994,-7.645569620253155,39.85
Evans 12mm,PVA,100:0,3.4,5.539,-0.6000000000000001,-10.00333444481494,-0.4590000000000005,-7.652550850283436,39.59
Evans 12mm,PVA,100:40,3.55,3.902,-0.4100000000000001,-6.840173506840176,-2.0919999999999996,-34.90156823490157,59.3
Evans 12mm,PVA,100:40,3.34,3.764,-0.6200000000000001,-10.414916848647742,-2.1890000000000005,-36.77137577691921,58.29
Evans 12mm,PVA,100:40,3.4,3.893,-0.56,-9.362982778799534,-2.088,-34.910550075238255,57.55
Evans 12mm,PVA,100:40,3.53,3.933,-0.4300000000000001,-7.107438016528929,-2.117,-34.99173553719008,58.76
Evans 12mm,PVA,100:0,3.66,5.296,-0.3499999999999996,-5.785123966942144,-0.7539999999999996,-12.462809917355363,46.35
Evans 12mm,PVA,100:0,3.5,5.334,-0.5099999999999998,-8.889663587240715,-0.4030000000000004,-7.024577305211792,43.6
Evans 12mm,PVA,100:0,3.5,5.399,-0.5099999999999998,-8.838821490467936,-0.3709999999999995,-6.429809358752159,42.9
Evans 12mm,PVA,100:5,3.47,5.378,-0.5399999999999996,-9.204022498721656,-0.4889999999999999,-8.334753707175727,42.63
Evans 12mm,PVA,100:5,3.47,5.344,-0.5399999999999996,-9.276756571035898,-0.4769999999999994,-8.19446830441504,42.95
Evans 12mm,PVA,100:5,3.49,5.407,-0.5199999999999996,-8.994983566856938,-0.3739999999999996,-6.469468950008643,42.57
Evans 12mm,PVA,100:5,3.53,5.436,-0.48,-8.19112627986348,-0.4240000000000004,-7.2354948805460815,42.94
Evans 12mm,PVA,100:5,3.53,5.381,-0.48,-8.153558688635979,-0.5059999999999993,-8.595209784270416,43.58
Evans 12mm,PVA,100:20,3.66,4.701,-0.5999999999999996,-14.084507042253511,-1.285,-21.46675576344805,52.48
Evans 12mm,PVA,100:20,3.52,4.657,-0.6599999999999997,-15.78947368421052,-1.2409999999999997,-21.041030857917935,51.05
Evans 12mm,PVA,100:20,3.47,4.627,-0.6999999999999997,-16.786570743405267,-1.2599999999999998,-21.40309155766944,50.62
Evans 12mm,PVA,100:20,3.54,4.577,-0.6699999999999999,-15.914489311163893,-1.3120000000000005,-22.27882492783155,52.13
Evans 12mm,PVA,100:20,3.52,4.611,-0.7200000000000002,-16.981132075471702,-1.237,-21.152530779753764,51.47
Evans 12mm,PVA,100:20,3.49,4.688,-0.7299999999999995,-17.298578199052123,-1.2780000000000005,-21.42138786456588,50.27
Evans 12mm,PVA,100:30,3.5,4.192,-0.6200000000000001,-10.528103243335032,-1.697,-28.816437425708948,55.68
Evans 12mm,PVA,100:30,3.45,4.22,-0.6600000000000001,-11.148648648648653,-1.7000000000000002,-28.716216216216218,54.7
Evans 12mm,PVA,100:30,3.47,4.199,-0.69,-11.69095221958658,-1.7030000000000003,-28.854625550660796,55.12
Evans 12mm,PVA,100:40,3.5,3.806,-0.5599999999999996,-9.58575830195138,-2.0359999999999996,-34.85107839780896,59.76
Evans 12mm,PVA,100:40,3.55,3.865,-0.5200000000000005,-8.837525492862005,-2.019,-34.313392250169954,59.67
Evans 12mm,PVA,100:40,3.47,3.879,-0.5899999999999994,-9.951087873165784,-2.0500000000000003,-34.57581379659302,58.58
Evans 12mm,PVA,100:20,3.63,4.6,-0.6200000000000001,-10.465901417960838,-1.3240000000000007,-22.3497636731938,53.13
Evans 12mm,PVA,100:20,3.5,4.59,-0.6200000000000001,-10.444743935309974,-1.346,-22.675202156334233,51.44
Evans 12mm,PVA,100:20,3.48,4.579,-0.6300000000000003,-10.609632873021226,-1.359,-22.886493768945773,51.27
Evans 12mm,PVA,100:20,3.49,4.598,-0.5899999999999999,-9.87778335844634,-1.375,-23.02025782688766,51.21
Evans 12mm,PVA,100:20,3.54,4.572,-0.5499999999999998,-9.229736532975329,-1.3869999999999996,-23.275717402248695,52.22
Evans 12mm,PVA,100:20,3.52,4.612,-0.5799999999999996,-9.74789915966386,-1.338,-22.487394957983195,51.5
Evans 12mm,PVA,100:30,3.5,4.308,-0.5700000000000003,-9.534961525593848,-1.67,-27.93576446972231,54.42
Evans 12mm,PVA,100:30,3.58,4.323,-0.4799999999999995,-8.053691275167777,-1.6369999999999996,-27.466442953020128,55.25
Evans 12mm,PVA,100:30,3.58,4.278,-0.4699999999999997,-7.841174507841171,-1.7160000000000002,-28.628628628628633,55.74
Evans 12mm,PVA,100:30,3.54,4.315,-0.54,-9.02557245528999,-1.6679999999999993,-27.878990473006844,54.88
Evans 12mm,PVA,100:30,3.45,3.702,-0.6399999999999997,-10.698762955533262,-2.28,-38.114343029087266,60.31
Evans 12mm,PVA,100:30,3.47,4.226,-0.6000000000000001,-10.058675607711653,-1.739,-29.1533948030176,54.94
Evans 12mm,PVA,100:40,3.52,4.239,-0.52,-8.688387635756056,-1.7460000000000004,-29.172932330827074,55.39
Evans 12mm,PVA,100:40,3.5,3.848,-0.54,-9.027081243731194,-2.1340000000000003,-35.67368772985624,59.28
Evans 12mm,PVA,100:40,3.48,3.803,-0.5799999999999996,-9.660226515656223,-2.2009999999999996,-36.65889407061959,59.47
Evans 12mm,PVA,100:40,3.52,3.083,-0.5500000000000003,-9.148369926813045,-2.9289999999999994,-48.71922821024617,59.99
Evans 12mm,PVA,100:40,3.46,3.8,-0.6200000000000001,-10.413167618407796,-2.154,-36.17735975814578,59.34
Evans 12mm,PVA,100:40,3.52,3.769,-0.5500000000000003,-9.160559626915395,-2.234999999999999,-37.22518321119253,60.34
Evans 12mm,PVA,100:20,3.5625264479999994,5.008,-0.4189958569999996,-10.52350897227988,-1.3090000000000002,-20.721861643185058,47.935409269561866
Evans 12mm,PVA,100:20,3.3943711199999997,4.993,-0.4680163025000001,-12.117280099184564,-1.3229999999999995,-20.946801773274217,45.51982697580636
Evans 12mm,PVA,100:20,3.4108956180000005,4.968,-0.4169599544999998,-10.892781783500787,-1.3390000000000004,-21.23037894403045,46.05522402122364
Evans 12mm,PVA,100:20,3.57857192,4.985,-0.2751825399999998,-7.140635005583616,-1.319,-20.923223350253807,48.40689700889688
Evans 12mm,PVA,100:20,3.679514496,5.022,-0.4453149864999997,-10.795961103102393,-1.327,-20.90092928020161,49.44985263621041
Evans 12mm,PVA,100:20,3.5610807374999993,4.998,-0.5136775625000007,-12.606332073733078,-1.3049999999999995,-20.704426463588764,48.0182773836615
Evans 12mm,PVA,100:20,3.61209972,5.01,-0.4229469524999998,-10.481835448955389,-1.3180000000000005,-20.82806573957017,48.62944826020597
Evans 12mm,PVA,100:20,3.84939317,5.229,-0.35658616,-8.478076852555526,-1.3529999999999998,-20.55606198723792,49.68903977489349
Evans 12mm,PVA,100:20,3.5294651084999997,5.038,-0.4382444565000001,-11.045275600962494,-1.2889999999999997,-20.373004583530896,47.13289780277974
Evans 12mm,PVA,100:20,3.5533601460000006,4.986,-0.4005366789999987,-10.130175285997725,-1.2800000000000002,-20.427705075007985,48.03041091273988
Evans 12mm,PVA,100:30,3.8079219749999993,4.303,-0.4498551300000004,-10.565492718529718,-2.0229999999999997,-31.979133733797028,58.14767964872222
Evans 12mm,PVA,100:30,3.737992563,4.358,-0.3868369195000003,-9.378252389370145,-2.006,-31.5210559396606,56.81976229565671
Evans 12mm,PVA,100:30,3.770632593,4.343,-0.4249871819999993,-10.129306390734596,-2.016,-31.703097971379147,57.34088435174892
Evans 12mm,PVA,100:30,3.771412125,4.388,-0.4915447574999989,-11.53060589277492,-2.005,-31.362427655247927,56.90778065828101
Evans 12mm,PVA,100:30,3.741715545,4.387,-0.4400914899999995,-10.523954986842178,-2.027,-31.60274399750546,56.57567243490674
Evans 12mm,PVA,100:30,3.8245486630000007,4.431,-0.4211422944999983,-9.919287548615657,-2.03,-31.4192849404117,57.09007112426665
Evans 12mm,PVA,100:30,3.729577764,4.361,-0.4505026784999995,-10.777368634335788,-1.9700000000000009,-31.116727215289853,56.69254571453454
Evans 12mm,PVA,100:30,3.814545672,4.335,-0.3966134354999995,-9.418153657353816,-1.9539999999999995,-31.07012243599936,57.909651800977166
