Size,Binder Composition,Feed Mix (g Bioglass : g PEG6000),Final Volume (cm^3),Final Mass (g),Volume Loss (cm^3),Volume Loss (%),Mass Loss (g),Mass Loss (%),Porosity (%)
Evans 12mm,PVA PEG200,100:20,3.3998983199999997,4.908,-0.5774772360000004,-14.519052271261064,-1.6479999999999997,-25.137278828553995,46.534348774942835
Evans 12mm,PVA PEG200,100:20,3.324405546,4.83,-0.578373026,-14.819519358578663,-1.6269999999999998,-25.197460120799132,46.18920994638213
Evans 12mm,PVA PEG200,100:20,3.2727584175,4.748,-0.5384693105,-14.128500024913755,-1.5489999999999997,-24.599015404160703,46.26800105026333
Evans 12mm,PVA PEG200,100:20,3.338469350999999,4.968,-0.5099361690000013,-13.250583036270076,-1.5469999999999997,-23.74520337682271,44.88492160490107
Evans 12mm,PVA PEG200,100:20,3.2833058789999994,4.945,-0.517609401000001,-13.6180199470271,-1.5669999999999993,-24.063267813267807,44.218371696782086
Evans 12mm,PVA PEG200,100:20,3.2691555150000005,4.926,-0.5385440849999998,-14.143554943252346,-1.5729999999999995,-24.20372364979227,44.19217941534837
Evans 12mm,PVA PEG200,100:20,3.2486668,4.891,-0.5098464800000002,-13.56511051093054,-1.5590000000000002,-24.17054263565892,44.23923433817586
Evans 12mm,PVA PEG200,100:20,3.2317398749999997,4.88,-0.4945478850000002,-13.27186510684296,-1.596,-24.64484249536751,44.07323988576255
Evans 12mm,PVA PEG200,100:20,3.25946385,4.922,-0.4956572700000001,-13.19950153831523,-1.5040000000000004,-23.40491752256459,44.07169255879421
Evans 12mm,PVA PEG200,100:20,3.26523811,4.98,-0.5002126699999998,-13.28427057543426,-1.497,-23.112552107457155,43.512712325765285
Evans 12mm,PVA PEG200,100:20,3.24640536,4.937,-0.4953313800000001,-13.238007225489628,-1.535,-23.717552533992585,43.67559451914783
Evans 12mm,PVA PEG200,100:20,3.275918136,4.966,-0.4883469419999997,-12.973234665489192,-1.537,-23.63524527141319,43.85515196344152
Evans 12mm,PVA PEG200,100:20,3.2250304899999995,4.886,-0.4896044900000005,-13.180419950710755,-1.513,-23.64431942491014,43.88798384260764
Evans 12mm,PVA PEG200,100:20,3.283696368,4.98,-0.5054684520000006,-13.339838091286843,-1.5269999999999992,-23.46703550023051,43.83023770349876
Evans 12mm,PVA PEG200,100:20,3.277292844,4.974,-0.4932395160000005,-13.081429063772854,-1.5,-23.169601482854493,43.78829387813406
Evans 12mm,PVA PEG200,100:20,3.6434321625,5.081,-0.4124054694999999,-10.168194758246177,-1.3619999999999992,-21.139220859847885,48.34947467333689
Evans 12mm,PVA PEG200,100:20,3.597783125,5.031,-0.3951864750000005,-9.897056942281765,-1.3210000000000006,-20.79659949622167,48.20884782116117
Evans 12mm,PVA PEG200,100:20,3.62473875,5.055,-0.4056118419999994,-10.063934457838837,-1.3490000000000002,-21.064959400374768,48.348767970595894
Evans 12mm,PVA PEG200,100:20,3.6244312125,5.011,-0.3311573955000009,-8.371886672700239,-1.3019999999999996,-20.62410898146681,48.79400884957681
Evans 12mm,PVA PEG200,100:20,3.623813925,4.996,-0.4422185229999997,-10.87592213430363,-1.3689999999999998,-21.5082482325216,48.93859318755251
Evans 12mm,PVA PEG200,100:20,3.596283787500001,4.996,-0.398384948499999,-9.972915774210495,-1.3489999999999993,-21.26083530338848,48.54770981083567
Evans 12mm,PVA PEG200,100:20,3.5875687500000004,4.989,-0.3663207219999993,-9.264819479506162,-1.3230000000000004,-20.960076045627385,48.494986255586674
Evans 12mm,PVA PEG200,100:20,3.4851676124999993,4.92,-0.4347391395000004,-11.090547990157916,-1.3630000000000004,-21.693458538914538,47.7149329723314
Evans 12mm,PVA PEG200,100:20,3.4186134,4.975,-0.4061417360000008,-10.618764379900966,-1.378,-21.69053990240831,46.101170942798255
Evans 12mm,PVA PEG200,100:20,3.2791905000000003,4.883,-0.3926423959999994,-10.693362337587146,-1.3230000000000004,-21.318079278117956,44.84862899796403
Evans 12mm,PVA PEG200,100:20,3.7231927875,5.041,-0.3734241084999996,-9.115426655214373,-1.1949999999999994,-19.16292495189223,49.85387156675574
Evans 12mm,PVA PEG200,100:20,3.6882928125,5.064,-0.3828370435000003,-9.403705041139329,-1.1920000000000002,-19.0537084398977,49.14840955145681
Evans 12mm,PVA PEG200,100:20,3.67681215,5.069,-0.3892202979999992,-9.57248381506274,-1.231,-19.539682539682538,48.93926230614182
Evans 12mm,PVA PEG200,100:20,3.7147484125,5.05,-0.3716736675000005,-9.095332303509885,-1.2039999999999995,-19.251678925487685,49.650146855796784
Evans 12mm,PVA PEG200,100:20,3.699791174999999,5.085,-0.3764360889999998,-9.234914164982138,-1.2169999999999996,-19.311329736591553,49.09622613137528
Evans 12mm,PVA PEG200,100:20,3.68426385,5.021,-0.3885651419999996,-9.540423689853748,-1.21,-19.419033862943348,49.525069176855254
Cotton 5mm,PVA PEG200,100:20,1.5047312425,2.007,-0.1728318615000001,-10.302555003021824,-0.5029999999999997,-20.039840637450187,50.60025921317751
Cotton 5mm,PVA PEG200,100:20,1.503264958,2.031,-0.1776249940000001,-10.567318448697591,-0.4969999999999999,-19.659810126582276,49.96076917651251
Cotton 5mm,PVA PEG200,100:20,1.478044722,1.989,-0.1803890059999997,-10.87707051264214,-0.486,-19.636363636363637,50.15937909714571
Evans 12mm,PVA PEG200,100:20,1.3672605644999998,1.93,-0.1747334835000003,-11.331657455269262,-0.4829999999999999,-20.01657687525901,47.719196079043
Evans 12mm,PVA PEG200,100:20,1.36559464,1.948,-0.1747359839999998,-11.344057001621998,-0.4660000000000002,-19.304059652029835,47.1672295461352
Evans 12mm,PVA PEG200,100:20,1.329685821,1.919,0.0704738529999999,5.596663214052296,-0.4489999999999998,-18.96114864864864,46.54821992414547
Evans 12mm,PVA PEG200,100:20,3.458115375,4.889,-0.3447600090000002,-9.065771927487388,-1.2279999999999998,-20.075200261566124,47.63793152098805
Evans 12mm,PVA PEG200,100:20,3.4461269699999995,4.84,-0.3365650859999998,-8.897501594562787,-1.2439999999999998,-20.447074293228138,47.98239855356831
Evans 12mm,PVA PEG200,100:20,3.471610646,4.902,-0.3312647380000002,-8.710901740134439,-1.2509999999999994,-20.33154558751828,47.70278868549259
Cotton 5mm,PVA PEG200,100:20,3.478020732,4.92,-0.3366282599999999,-8.82461953133747,-1.266,-20.46556741028128,47.60749395607047
Cotton 5mm,PVA PEG200,100:20,3.479610321,4.9,-0.3299928389999995,-8.662131595879913,-1.2589999999999997,-20.44163013476213,47.844308776125885
Cotton 5mm,PVA PEG200,100:20,3.4446393630000003,4.941,-0.3464624129999998,-9.138831755805644,-1.2090000000000003,-19.65853658536586,46.87397410432485
Evans 12mm,PVA PEG200,100:20,3.3056534159999997,4.718,-0.4579328239999993,-12.16745930073332,-1.713,-26.636603949619037,47.13881984875915
Evans 12mm,PVA PEG200,100:20,3.2711502450000003,4.701,-0.4585907949999992,-12.29551301502689,-1.7920000000000007,-27.59895271831204,46.773734597717606
Evans 12mm,PVA PEG200,100:20,3.194315299999999,4.672,-0.4761966400000008,-12.973575560688705,-1.753,-27.284046692607006,45.8296940702638
Evans 12mm,PVA PEG200,100:20,3.253285944999999,4.732,-0.4781473550000004,-12.814039982973846,-1.7889999999999997,-27.434442570157948,46.12854135105566
Evans 12mm,PVA PEG200,100:20,3.284346875,4.737,-0.5029310049999989,-13.279485185280333,-1.8019999999999996,-27.557730539837895,46.58163369408281
Evans 12mm,PVA PEG200,100:20,3.2051006299999996,4.716,-0.4704880900000003,-12.800346443548788,-1.721,-26.73605716948889,45.503531142899966
Evans 12mm,PVA PEG200,100:20,3.1797385499999997,4.652,-0.4704662699999997,-12.888763595463113,-1.668,-26.39240506329114,45.81431976654298
Evans 12mm,PVA PEG200,100:20,3.2498387999999996,4.733,-0.4612873799999999,-12.429848989936524,-1.476,-23.77194395232727,46.060002638808946
Cotton 5mm,PVA PEG200,100:20,1.29271688,1.882,-0.2447254239999996,-15.917698073175934,-0.6679999999999999,-26.19607843137255,46.079683198920016
Cotton 5mm,PVA PEG200,100:20,1.216380165,1.808,-0.2308722669999998,-15.952453206863906,-0.6540000000000001,-26.563769293257515,44.948984791310735
