Sample ID,Group ID,Size,Date Tested,Binder Composition,Feed Mix (g Bioglass : g PEG6000),Particle Size (microns),Sintering Temperature (°C),Sintering Time (hours),Final Volume (cm^3),Final Mass (g),Volume Loss (cm^3),Volume Loss (%),Mass Loss (g),Mass Loss (%),Compressive Load (N),Cross-Sectional Area (mm^2),Maximum Stress (MPa),Porosity (%)
28,41025:G3:4kN,13mmx13mm plate,2025-04-10,PVA,100:20,<90,930,6,1.43,2.216,-0.06000000000000005,-2.1359914560341777,-0.593,-21.11071555713777,2713.56,169.0,16.05656804733728,42.68
29,41025:G4:5kN,13mmx13mm plate,2025-04-10,PVA,100:20,<90,930,6,1.3,2.039,-0.06000000000000005,-4.411764705882357,-0.5509999999999997,-21.274131274131264,3603.7,169.0,21.323668639053253,41.74
30,41025:G4:5kN,13mmx13mm plate,2025-04-10,PVA,100:20,<90,930,6,1.35,2.14,-0.039999999999999813,-2.8776978417266053,-0.573,-21.12053077773682,2827.4,169.0,16.7301775147929,41.49
31,41025:G4:5kN,13mmx13mm plate,2025-04-10,PVA,100:20,<90,930,6,1.31,2.142,-0.19999999999999996,-13.24503311258278,-0.565,-20.871813816032507,2747.7,169.0,16.258579881656804,39.64
32,41025:G4:5kN,13mmx13mm plate,2025-04-10,PVA,100:20,<90,930,6,1.35,2.188,-0.19999999999999996,-12.90322580645161,-0.585,-21.09628561125135,2437.7,169.0,14.424260355029585,40.07
33,41025:G4:5kN,13mmx13mm plate,2025-04-10,PVA,100:20,<90,930,6,1.36,2.215,-0.19999999999999996,-12.820512820512816,-0.5840000000000001,-20.864594498035018,2716.57,169.0,16.07437869822485,39.87
34,41025:G4:5kN,13mmx13mm plate,2025-04-10,PVA,100:20,<90,930,6,1.28,2.112,-0.1499999999999999,-10.489510489510485,-0.556,-20.839580209895054,2856.14,169.0,16.90023668639053,38.89
35,32725:G1:2kN,19mmx19mm plate,2025-03-27,PVA,100:20,<90,930,6,3.53,4.722,-0.3666152400000007,-9.408556334651113,-1.279,-21.313114480919847,1743.52,361.0,4.829695290858726,50.5
36,32725:G1:2kN,19mmx19mm plate,2025-03-27,PVA,100:20,<90,930,6,3.39,4.62,-0.3460206399999999,-9.261743264887311,-1.2400000000000002,-21.160409556313994,2844.25,361.0,7.878808864265928,46.38
37,32725:G1:2kN,19mmx19mm plate,2025-03-27,PVA,100:20,<90,930,6,3.51,4.783,-0.3763313370000003,-9.683459910304613,-1.3039999999999994,-21.422704123541966,2821.39,361.0,7.815484764542936,49.62
38,32725:G2:3kN,19mmx19mm plate,2025-03-27,PVA,100:20,<90,930,6,3.55,4.812,-0.3064232250000001,-7.945788289354576,-1.3049999999999997,-21.333987248651294,2698.41,361.0,7.474819944598337,49.92
39,32725:G2:3kN,19mmx19mm plate,2025-03-27,PVA,100:20,<90,930,6,3.46,4.736,-0.3425906030000001,-9.009400137099115,-1.2759999999999998,-21.22421823020625,2675.67,361.0,7.411828254847646,49.41
40,32725:G2:3kN,19mmx19mm plate,2025-03-27,PVA,100:20,<90,930,6,3.33,4.783,-0.30138368000000026,-8.299417152196934,-1.2559999999999993,-20.798145388309315,3429.45,361.0,9.499861495844875,46.81
41,32725:G3:4kN,19mmx19mm plate,2025-03-27,PVA,100:20,<90,930,6,3.32,4.767,-0.3776927900000002,-10.21428256618366,-1.266,-20.984584783689705,3190.37,361.0,8.83759002770083,46.97
42,32725:G3:4kN,19mmx19mm plate,2025-03-27,PVA,100:20,<90,930,6,3.22,4.742,-0.2908690399999996,-8.28481600099785,-1.2610000000000001,-21.006163584874233,3246.49,361.0,8.993047091412741,45.59
43,32725:G3:4kN,19mmx19mm plate,2025-03-27,PVA,100:20,<90,930,6,3.33,4.711,-0.23977041599999938,-6.716690096520746,-1.258,-21.07555704473111,3558.46,361.0,9.857229916897507,47.61
44,32725:G4:5kN,19mmx19mm plate,2025-03-27,PVA,100:20,<90,930,6,2.97,4.735,-0.17408392199999945,-5.536872625501103,-1.2249999999999996,-20.55369127516778,5014.07,361.0,13.88939058171745,41.08
45,32725:G4:5kN,19mmx19mm plate,2025-03-27,PVA,100:20,<90,930,6,3.01,4.779,-0.3388746239999998,-10.11905974536716,-1.2759999999999998,-21.07349298100743,5006.8,361.0,13.869252077562328,41.22
46,32725:G4:5kN,19mmx19mm plate,2025-03-27,PVA,100:20,<90,930,6,2.89,4.707,-0.2719784319999996,-8.601527108708616,-1.2380000000000004,-20.824222035323807,5015.91,361.0,13.89448753462604,39.83
47,7125:100:0:HMW,Evans 12mm,2025-07-01,PVA,100:0,<90,930,6,3.83,5.572,-0.21999999999999975,-5.432098765432094,-0.484,-7.992073976221928,7789.12,174.0909090909091,44.74168146214099,46.12
48,7125:100:10:LMW,Evans 12mm,2025-07-01,PVA,100:10,<90,930,6,3.65,4.607,-0.43000000000000016,-7.72964227934568,-0.9559999999999995,-17.18497213733596,7505.0,165.9090909090909,45.23561643835617,53.3
49,7125:100:10:LMW,Evans 12mm,2025-07-01,PVA,100:10,<90,930,6,3.78,4.605,-0.2799999999999998,-5.044136191677172,-0.9459999999999997,-17.041974419023596,7505.0,171.8181818181818,43.679894179894184,54.82
50,7125:100:10:LMW,Evans 12mm,2025-07-01,PVA,100:10,<90,930,6,3.76,4.58,-0.3100000000000005,-5.579553635709153,-0.976,-17.566594672426206,7272.0,170.9090909090909,42.54893617021277,54.89
51,7125:100:10:HMW,Evans 12mm,2025-07-01,PVA,100:10,<90,930,6,3.8,4.961,-0.23000000000000043,-3.889734483341796,-0.952,-16.100118383223403,8175.0,172.72727272727272,47.328947368421055,51.71
52,7125:100:10:HMW,Evans 12mm,2025-07-01,PVA,100:10,<90,930,6,3.82,4.919,-0.23999999999999977,-4.07747196738022,-0.9670000000000005,-16.428814135236163,8314.0,173.63636363636363,47.88167539267016,52.29
53,7125:100:10:HMW,Evans 12mm,2025-07-01,PVA,100:10,<90,930,6,3.82,4.935,-0.25000000000000044,-4.175714047102062,-1.0520000000000005,-17.571404710205453,8597.0,173.63636363636363,49.51151832460733,52.19
54,7125:100:10:LMW,Evans 12mm,2025-07-01,PVA,100:10,<90,930,6,3.77,4.876,-0.24999999999999956,-4.450774434751638,-0.7409999999999997,-13.192095424603876,2540.0,171.36363636363635,14.822281167108756,52.14
