Model,MAE (MPa),RMSE (MPa),R²
Geometry-Inclusive Random Forest,11.004071090783764,15.53700959863202,-0.16906849580748817
Random Forest Regression,11.976195114392986,16.288135512514184,-0.0853135623308002
Lasso Regression,14.888013790224926,18.04485510850596,-0.5207771349730496
Porosity-only Linear Regression,15.18063632453692,17.27780341264217,-0.12926785684769518
